,Content,Type,ID,Flavour,BrewID,12,16,24,32,Other
4575,35.0,IBU,785,Scottish Ale,503,Old Chub (2003),,,,
2519,22.0,IBU,824,American Pale Wheat Ale,500,Tonganoxie Honey Wheat,,,,
4647,22.0,IBU,855,Vienna Lager,498,Special Amber,,,,
4641,22.0,IBU,445,Vienna Lager,498,Special Amber,,,,
111,49.0,IBU,871,American Amber / Red Ale,496,Dry Dock Amber Ale,,,,
1182,100.0,IBU,881,American IPA,496,Hop Abomination,,,,
2749,55.0,IBU,917,American Porter,494,,Becky's Black Cat Porter,,,
1186,105.0,IBU,918,American IPA,494,,Frankenlou's IPA,,,
1155,64.0,IBU,648,American IPA,493,Fairweather IPA,,,,
116,27.0,IBU,924,American Amber / Red Ale,491,,Deadicated Amber,,,
1165,85.0,IBU,730,American IPA,491,,California Sunshine Rye IPA,,,
1135,80.0,IBU,544,American IPA,490,,Old Elephant Foot IPA,,,
2980,40.0,IBU,692,American White IPA,489,Blue Point White IPA,,,,
4643,28.0,IBU,665,Vienna Lager,489,Toasted Lager,,,,
1142,44.0,IBU,583,American IPA,487,Long Hammer IPA,,,,
1189,44.0,IBU,945,American IPA,487,,Long Hammer IPA,,,
87,27.0,IBU,339,American Amber / Red Ale,487,Copper Hook (2011),,,,
120,31.0,IBU,953,American Amber / Red Ale,486,,Wisco Disco,,,
121,32.0,IBU,961,American Amber / Red Ale,485,Mac's Scottish Style Amber Ale (2000),,,,
2010,38.0,IBU,965,American Pale Ale (APA),483,Field 41 Pale Ale,,,,
1193,70.0,IBU,966,American IPA,483,Topcutter India Pale Ale,,,,
3768,22.0,IBU,969,German Pilsener,482,,Capital Gold Golden Lager,,,
1194,75.0,IBU,970,American IPA,482,,Des Moines IPA,,,
507,21.0,IBU,968,American Blonde Ale,482,,Farmer John's Multi-Grain Ale,,,
1195,75.0,IBU,972,American IPA,481,,Rude Parrot IPA,,,
842,82.0,IBU,47,American Double / Imperial IPA,481,,Ballz Deep Double IPA,,,
3553,30.0,IBU,866,English Pale Ale,481,,British Pale Ale (2010),,,
3547,30.0,IBU,48,English Pale Ale,481,,British Pale Ale,,,
1198,45.0,IBU,990,American IPA,479,Loose Cannon,,,,
4110,30.0,IBU,989,Märzen / Oktoberfest,479,AARGHtoberfest!,,,,
692,36.0,IBU,308,American Brown Ale,478,Good People American Brown Ale,,,,
844,103.0,IBU,312,American Double / Imperial IPA,478,Snake Handler Double IPA,,,,
1100,64.0,IBU,309,American IPA,478,Good People IPA,,,,
2013,36.0,IBU,1000,American Pale Ale (APA),478,Good People Pale Ale,,,,
4248,54.0,IBU,311,Oatmeal Stout,478,Coffee Oatmeal Stout,,,,
714,55.0,IBU,1021,American Brown Ale,475,Watership Brown Ale,,,,
1187,55.0,IBU,938,American IPA,475,Gangway IPA,,,,
124,31.0,IBU,1057,American Amber / Red Ale,472,,South Ridge Amber Ale,,,
3991,23.0,IBU,681,Kölsch,472,,Summertime Ale,,,
1969,45.0,IBU,602,American Pale Ale (APA),471,,Boji Blue Pale Ale,,,
715,26.0,IBU,1058,American Brown Ale,471,,33 Select Brown Ale,,,
4419,29.0,IBU,603,Saison / Farmhouse Ale,471,,Midwest Charm Farmhouse Ale,,,
2877,26.0,IBU,601,American Stout,471,,Winter Games Select #32 Stout,,,
4382,23.0,IBU,600,Rye Beer,471,,Boji Beach Golden Rye Ale,,,
2019,42.0,IBU,1082,American Pale Ale (APA),469,RecreationAle,,,,
2023,30.0,IBU,1106,American Pale Ale (APA),466,Pablo Beach Pale Ale,,,,
1214,70.0,IBU,1109,American IPA,464,Descender IPA,,,,
345,26.0,IBU,1165,American Amber / Red Lager,462,Colorado Native,,,,
337,26.0,IBU,431,American Amber / Red Lager,462,Colorado Native (2011),,,,
1180,80.0,IBU,857,American IPA,460,Interurban IPA,,,,
2001,45.0,IBU,875,American Pale Ale (APA),460,Fremont Summer Ale,,,,
1999,30.0,IBU,858,American Pale Ale (APA),460,Universale Pale Ale,,,,
4423,35.0,IBU,901,Saison / Farmhouse Ale,460,Harvest Ale,,,,
1229,75.0,IBU,1199,American IPA,457,Indian Paintbrush IPA,,,,
2038,40.0,IBU,1210,American Pale Ale (APA),454,Mirror Pond Pale Ale,,,,
516,46.0,IBU,1159,American Blonde Ale,453,Mother Ale,,,,
3951,55.0,IBU,1213,Irish Dry Stout,453,Chuli Stout,,,,
1190,71.0,IBU,947,American IPA,453,Twister Creek India Pale Ale,,,,
3962,46.0,IBU,929,Irish Red Ale,453,Single Engine Red,,,,
2040,42.0,IBU,1226,American Pale Ale (APA),450,,Three Skulls Ale Pale Ale,,,
876,95.0,IBU,1229,American Double / Imperial IPA,449,Dodgy Knight Imperial IPA,,,,
3855,28.0,IBU,361,Hefeweizen,449,TailGate Hefeweizen,,,,
1160,44.0,IBU,663,American IPA,449,,,TailGate IPA,,
3863,28.0,IBU,623,Hefeweizen,449,,,TailGate Hefeweizen,,
1159,44.0,IBU,662,American IPA,449,TailGate IPA,,,,
4732,21.0,IBU,1236,Witbier,448,Pace Setter Belgian Style Wit,,,,
2760,34.0,IBU,1237,American Porter,448,Pit Stop Chocolate Porter,,,,
2016,53.0,IBU,1047,American Pale Ale (APA),448,Back in the Saddle Rye Pale Ale,,,,
2041,35.0,IBU,1240,American Pale Ale (APA),447,Stump Knocker Pale Ale,,,,
4257,38.0,IBU,1239,Oatmeal Stout,447,Midnight Oil,,,,
1237,50.0,IBU,1242,American IPA,447,Big Nose,,,,
2045,43.0,IBU,1257,American Pale Ale (APA),444,,Jack Pine Savage,,,
878,76.0,IBU,1255,American Double / Imperial IPA,444,,Bad Axe Imperial IPA,,,
1197,50.0,IBU,985,American IPA,444,,Bark Bite IPA,,,
4386,85.0,IBU,1256,Rye Beer,444,,Forest Fire Imperial Smoked Rye,,,
4253,35.0,IBU,986,Oatmeal Stout,444,,Morning Wood,,,
1240,66.0,IBU,1258,American IPA,442,5 Day IPA,,,,
2744,24.0,IBU,694,American Porter,441,,Cache La Porter,,,
3992,22.0,IBU,696,Kölsch,441,,Old Town Ale,,,
1975,48.0,IBU,697,American Pale Ale (APA),441,,Stimulator Pale Ale,,,
3965,23.0,IBU,1268,Irish Red Ale,441,,Rustic Red,,,
3467,28.0,IBU,695,English Bitter,441,,Car 21,,,
3521,47.0,IBU,566,English India Pale Ale (IPA),437,East India Pale Ale,,,,
3524,47.0,IBU,1279,English India Pale Ale (IPA),437,,East India Pale Ale,,,
3373,32.0,IBU,1283,Czech Pilsener,436,,Na Zdraví Pilsner,,,
1241,65.0,IBU,1282,American IPA,436,,Nice Rack IPA,,,
3608,42.0,IBU,1259,Extra Special / Strong Bitter (ESB),433,13 Rebels ESB,,,,
4542,24.0,IBU,1260,Scotch Ale / Wee Heavy,433,Wee-Heavy-Er Scotch Ale,,,,
3998,32.0,IBU,1300,Kölsch,433,Gateway Kolsch Style Ale,,,,
1245,60.0,IBU,1302,American IPA,432,Blur India Pale Ale,,,,
1246,65.0,IBU,1309,American IPA,430,Face Plant IPA,,,,
3375,55.0,IBU,1308,Czech Pilsener,430,Rhino Chasers Pilsner,,,,
1247,45.0,IBU,1322,American IPA,429,,Green Bullet Organic India Pale Ale,,,
